"","variables","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","percentile.25","percentile.75"
"1","est_year",1,527,1999.50474383302,5.89672496271996,2001,2000.0401891253,4.4478,1956,2008,52,-2.06899734663653,10.6018267943226,0.256865373838073,1996,2003
"2","acc_receivable",2,527,10575.4440227704,24363.9548573905,3798,6134.00236406619,4971.1578,-9508,383170,392678,8.75353497852902,111.6779325852,1061.31054308675,1062.5,11182.5
"3","inventory",3,527,12618.6944971537,27597.9361901215,4029,6749.06382978723,5294.3646,0,337968,337968,6.15673318776039,53.6033913558137,1202.18498258819,980,12671.5
"4","inventory_finished",4,527,4216.83681214421,14132.2085151984,436,1474.67848699764,646.4136,0,206150,206150,8.71737745396227,100.270841572854,615.60867199402,0,3026.5
"5","working_cap",5,527,36775.4895635674,66251.6832566949,16394,23461.9361702128,18081.7896,190,663530,663340,5.24605281020159,35.2222579921143,2885.96865119563,7139,42718.5
"6","assets_fixed",6,527,17507.9240986717,31000.4240727453,7259,10578.829787234,8370.7596,9,278320,278311,4.40716208932866,25.4242772342346,1350.39968269293,2732.5,17681
"7","assets_total",7,527,59806.559772296,99059.2280025047,28844,39050.9456264775,30500.0472,1266,886455,885189,4.62419657144217,27.1946547318226,4315.08774681555,13249,62806
"8","acc_payable",8,527,10735.9753320683,21220.6029382326,2993,5784.02600472813,4112.7324,-18975,183432,202407,3.84607814383846,18.2625166977015,924.383982848023,900.5,10461.5
"9","liabilities",9,527,32331.7514231499,54958.6660478699,13455,20988.6406619385,15546.5436,0,595036,595036,4.93973778298841,34.9046663069314,2394.03709504474,5565.5,35997.5
"10","debt_longterm",10,527,1305.63567362429,7726.27199662769,0,30.7494089834515,0,0,133100,133100,12.0576966188832,178.25097669315,336.561694387213,0,0
"11","debt_total",11,527,33990.9108159393,56641.2926098517,15374,22190.4349881797,17419.0674,9,595036,595027,4.67750521408158,31.1435671894185,2467.33345931573,5983,37510
"12","owner_equity",12,527,25760.339658444,51947.4891865204,10611,14854.938534279,12731.0862,-43140,582442,625582,5.03005588795382,34.9633925864516,2262.86817075658,3320,26087
"13","costs_main",13,527,74381.6546489564,106631.711829843,43667,52784.6808510638,43650.7092,3511,1005282,1001771,4.45761070681658,27.2250424975504,4644.95032332865,18190.5,83827
"14","tax_main",14,527,298.345351043643,1330.34374552834,35,88.9125295508274,51.891,0,18711,18711,11.2066302087493,143.096863596872,57.9506837589819,0,161.5
"15","revenue_other",15,527,978.204933586338,12645.4416991977,0,50.8959810874704,0,0,286556,286556,21.8944258294478,490.64306389807,550.844092262648,0,68
"16","profit_other",16,527,127.641366223909,767.69310400431,0,16.822695035461,0,-5400,12067,17467,8.57935348046529,127.284701490399,33.4412368559952,0,20.5
"17","expense_bus",17,527,2852.84629981025,8026.31014245944,801,1288.1134751773,1080.8154,0,98842,98842,7.03612056455542,60.9027640096625,349.631561301814,201.5,2321.5
"18","expense_mgmt",18,527,4743.22580645161,6537.05185351979,2644,3395.87234042553,2560.4502,12,52867,52855,3.78627438687147,18.8947846166392,284.758451304586,1203.5,5572
"19","profit_operational",19,527,3823.02277039848,13850.5033512552,769,1578.00709219858,1704.99,-15496,203370,218866,8.17481877105688,93.7922631726555,603.337402313671,47.5,3094
"20","dividend",20,527,34.6091081593928,552.259016963983,0,0,0,-4908,9653,14561,9.91646939543931,193.566429947752,24.0567806273377,0,0
"21","income_nonbus",21,527,157.510436432638,650.42065898626,0,29.6501182033097,0,-599,7598,8197,7.4551298143487,65.0182806156061,28.3327689147379,0,51.5
"22","profit",22,527,3653.99051233397,13271.1165951633,670,1527.76595744681,1602.6906,-15448,204071,219519,8.5336500439015,105.996719486809,578.09891880948,59,2989
"23","tax_income",23,527,528.018975332068,2086.32361894919,42,143.248226950355,62.2692,-1,24045,24046,8.09804410300197,74.6706064354999,90.8816842767228,0,273
"24","tax_vat",24,527,1858.45540796964,5538.47556010243,556,986.529550827423,824.3256,-45710,53910,99620,1.50901513695058,37.5721487412878,241.259784750504,0,1898
"25","output",25,527,89797.284629981,133096.139620433,52153,62799.9976359338,50435.0868,4297,1437247,1432950,4.83354011165731,33.0347135421189,5797.75890450166,22553.5,100045.5
"26","output_new",26,527,7090.49715370019,43748.5850196764,0,4.70685579196217,0,0,538815,538815,8.66716657210145,84.2539688419755,1905.71829566601,0,0
"27","sales",27,527,87330.7628083491,129819.217209387,50850,61053.4562647754,49072.5774,4388,1355337,1350949,4.79566029336334,31.9354895454428,5655.01392224911,22148.5,100059.5
"28","export",28,527,57040.4781783681,107129.317259762,25591,35729.1182033097,37941.2166,0,1278479,1278479,5.82904557920391,49.3328440897432,4666.62635631106,4821.5,67187
"29","workforce",29,527,445.620493358634,499.066707098717,297,345.919621749409,257.9724,12,3669,3657,2.67693899548907,9.4735665891675,21.7396872161249,138,521.5
